experiment,model,subject,target_label,audio_label,visual_label,target_N1_uV,audioPlusVisual_N1_uV,D_N1_uV,target_P2_uV,audioPlusVisual_P2_uV,D_P2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,-4.65347,-7.63858,2.98511,6.98970,8.32448,-1.33478,0.45510,2.15446
Exp2,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,-0.67494,-7.57822,6.90328,7.28937,1.10502,6.18435,-3.46682,4.93544
Exp2,attenuation,Vp3,VAO-MVA,AO-MA,VO-MV,-3.88652,-0.77252,-3.11400,1.09286,0.58184,0.51101,-0.68936,2.25606
Exp2,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,-1.68336,-1.61037,-0.07300,2.92796,2.82362,0.10434,0.51728,0.89051
Exp2,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,-0.27706,2.46348,-2.74054,2.26506,-0.61644,2.88150,-4.36797,2.77388
Exp2,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,-2.62424,-4.08452,1.46028,-0.32694,-0.21864,-0.10830,-0.28720,1.15786
Exp2,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.01552,-0.60179,0.61730,6.61019,7.32155,-0.71136,0.44184,1.84447
Exp2,attenuation,Vp9,VAO-MVA,AO-MA,VO-MV,-2.61755,-0.71370,-1.90385,2.48710,4.52194,-2.03484,-1.00204,2.08166
Exp2,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,-1.88967,-0.51865,-1.37102,3.30406,2.87272,0.43134,-7.37678,4.94104
Exp2,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,-0.75179,-1.29504,0.54325,0.91458,1.93710,-1.02252,-0.66534,2.15274
Exp2,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,-1.17706,-2.26930,1.09224,1.76181,2.38513,-0.62332,-0.35227,1.66939
Exp2,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,-2.05483,-4.04170,1.98687,-1.73904,0.69262,-2.43166,0.06809,2.00456
Exp2,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,-3.45423,-6.62510,3.17087,-0.28725,-3.46889,3.18163,-2.10863,3.18766
Exp2,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,0.37611,0.95691,-0.58080,-0.74800,2.98700,-3.73499,-1.79782,2.17385
Exp2,attenuation,Vp21,VAO-MVA,AO-MA,VO-MV,-3.67115,-4.73822,1.06708,6.36873,2.98857,3.38016,0.15386,2.31506
Exp2,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,-0.83010,0.08191,-0.91202,-0.86299,-0.26654,-0.59644,-0.28579,1.21611
Exp2,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,-1.29882,-9.68455,8.38573,-3.70093,-5.75990,2.05896,-3.52254,5.35074
Exp2,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,-8.56589,-3.38300,-5.18289,-3.71549,-2.86159,-0.85390,-0.04489,3.14220
Exp2,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,-3.60313,-2.66073,-0.94240,-2.38806,-1.30420,-1.08386,-0.39049,1.41517
Exp2,attenuation,Vp27,VAO-MVA,AO-MA,VO-MV,-1.63217,0.50239,-2.13455,1.61087,2.61200,-1.00113,-1.44991,2.41535
Exp2,attenuation,Vp28,VAO-MVA,AO-MA,VO-MV,-0.82510,1.90203,-2.72713,3.64896,5.04495,-1.39599,0.19406,1.94460
Exp2,attenuation,Vp29,VAO-MVA,AO-MA,VO-MV,-1.92186,5.93727,-7.85912,0.38985,6.65542,-6.26557,-12.67862,4.60476
Exp2,attenuation,Vp30,VAO-MVA,AO-MA,VO-MV,-1.61457,-1.25868,-0.35589,6.26727,6.25061,0.01666,0.27876,1.99599
Exp2,attenuation,Vp31,VAO-MVA,AO-MA,VO-MV,-4.25566,-1.83186,-2.42380,0.49254,6.60882,-6.11629,-6.33267,4.89189
Exp2,attenuation,Vp32,VAO-MVA,AO-MA,VO-MV,-2.59614,-1.83348,-0.76266,1.82613,5.28265,-3.45651,-4.59014,3.49325
Exp2,attenuation,Vp33,VAO-MVA,AO-MA,VO-MV,-0.54048,-3.57247,3.03199,1.98196,-0.90020,2.88215,-2.42962,2.49823
Exp2,attenuation,Vp34,VAO-MVA,AO-MA,VO-MV,-5.49326,-14.30219,8.80893,1.02068,-1.89965,2.92033,-1.32450,4.71994
Exp2,attenuation,Vp35,VAO-MVA,AO-MA,VO-MV,-2.26782,0.38236,-2.65018,2.12301,-2.12367,4.24668,0.18016,2.24507
Exp2,attenuation,Vp36,VAO-MVA,AO-MA,VO-MV,-0.28430,5.24207,-5.52636,7.62486,13.46177,-5.83691,-1.38316,3.87865
Exp2,attenuation,Vp38,VAO-MVA,AO-MA,VO-MV,-1.35190,-3.86523,2.51333,2.51969,-0.26598,2.78566,-1.72913,2.30130
