experiment,model,subject,target_label,audio_label,visual_label,target_N1_uV,audioPlusVisual_N1_uV,D_N1_uV,target_P2_uV,audioPlusVisual_P2_uV,D_P2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,replay,Vp1,VAO,AO,VO,-2.06582,-1.80802,-0.25780,17.77888,16.97117,0.80771,0.91793,1.81673
Exp2,replay,Vp2,VAO,AO,VO,-1.29461,-2.41243,1.11782,13.67054,8.86779,4.80276,0.64852,2.74068
Exp2,replay,Vp3,VAO,AO,VO,-5.80933,-3.07272,-2.73661,7.15647,3.90957,3.24690,0.84439,1.92597
Exp2,replay,Vp4,VAO,AO,VO,-2.86956,-0.30356,-2.56600,10.32761,7.99382,2.33379,0.85915,1.38658
Exp2,replay,Vp6,VAO,AO,VO,-3.91543,-0.98853,-2.92690,2.42010,-1.01824,3.43835,0.13188,2.42136
Exp2,replay,Vp7,VAO,AO,VO,-2.90425,-3.10087,0.19662,4.64346,4.56757,0.07590,0.90400,0.67955
Exp2,replay,Vp8,VAO,AO,VO,-4.03326,-0.41004,-3.62322,11.33218,11.48102,-0.14885,0.88914,1.66452
Exp2,replay,Vp9,VAO,AO,VO,-1.69932,0.51117,-2.21049,6.63859,4.84258,1.79601,0.78381,1.29878
Exp2,replay,Vp10,VAO,AO,VO,-3.50889,-2.07235,-1.43654,8.82606,5.26742,3.55864,-0.15083,4.62372
Exp2,replay,Vp12,VAO,AO,VO,-2.34778,-2.14321,-0.20456,5.69075,3.54445,2.14630,0.73005,1.36029
Exp2,replay,Vp13,VAO,AO,VO,0.36399,-0.49674,0.86073,5.65591,3.32161,2.33430,0.55540,1.72484
Exp2,replay,Vp14,VAO,AO,VO,-1.13633,1.11715,-2.25349,8.03376,5.60641,2.42734,0.82430,1.69359
Exp2,replay,Vp17,VAO,AO,VO,-6.19700,-5.25548,-0.94152,6.41984,7.83620,-1.41637,0.85031,1.53755
Exp2,replay,Vp20,VAO,AO,VO,-3.96784,-2.82014,-1.14770,3.31120,4.66912,-1.35792,0.76730,1.04959
Exp2,replay,Vp21,VAO,AO,VO,-2.03355,4.96722,-7.00077,15.37491,9.13850,6.23641,0.68940,3.22389
Exp2,replay,Vp23,VAO,AO,VO,0.28416,2.51257,-2.22841,8.65438,7.19744,1.45693,0.92578,1.03401
Exp2,replay,Vp24,VAO,AO,VO,5.12946,4.92139,0.20807,2.74734,5.61507,-2.86773,0.56391,2.26130
Exp2,replay,Vp25,VAO,AO,VO,-8.00115,-1.50096,-6.50019,1.16867,-2.05746,3.22612,0.04113,3.70438
Exp2,replay,Vp26,VAO,AO,VO,-2.48228,-0.19841,-2.28387,4.66046,5.44003,-0.77957,0.68691,1.23339
Exp2,replay,Vp27,VAO,AO,VO,4.75156,7.14856,-2.39700,8.30994,6.10218,2.20776,0.87627,1.52074
Exp2,replay,Vp28,VAO,AO,VO,-2.00041,1.34117,-3.34158,9.15436,9.63114,-0.47678,0.61703,2.31141
Exp2,replay,Vp29,VAO,AO,VO,1.27674,5.83070,-4.55396,-1.58696,1.02284,-2.60980,-1.07545,2.23230
Exp2,replay,Vp30,VAO,AO,VO,-1.34227,1.93696,-3.27922,11.83989,6.95666,4.88323,0.65759,2.64747
Exp2,replay,Vp31,VAO,AO,VO,-1.69608,3.96917,-5.66524,9.02362,12.01905,-2.99543,0.38996,3.20024
Exp2,replay,Vp32,VAO,AO,VO,-0.74752,1.91005,-2.65757,2.14220,1.70644,0.43576,0.68573,1.93922
Exp2,replay,Vp33,VAO,AO,VO,0.17972,-0.01964,0.19936,7.85026,4.41568,3.43459,0.48400,2.14988
Exp2,replay,Vp34,VAO,AO,VO,-1.88895,-3.67066,1.78171,2.88222,4.49972,-1.61750,0.51517,1.40079
Exp2,replay,Vp35,VAO,AO,VO,2.89004,5.99168,-3.10164,10.35849,4.80925,5.54924,0.81564,2.64649
Exp2,replay,Vp36,VAO,AO,VO,-1.24056,3.64657,-4.88713,14.72950,16.18217,-1.45268,0.81913,2.47095
Exp2,replay,Vp38,VAO,AO,VO,1.53553,4.43057,-2.89504,11.37687,7.64421,3.73266,0.74891,2.47846
