experiment,model,subject,target_label,audio_label,visual_label,target_N1_uV,audioPlusVisual_N1_uV,D_N1_uV,target_P2_uV,audioPlusVisual_P2_uV,D_P2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp1,self,Vp1,MVA,MA,MV,3.44335,6.17267,-2.72932,6.66206,6.55929,0.10277,0.67540,1.63469
Exp1,self,Vp2,MVA,MA,MV,0.67306,0.87742,-0.20436,8.65360,3.78447,4.86914,0.40795,2.64027
Exp1,self,Vp4,MVA,MA,MV,-0.11013,1.70646,-1.81660,4.23633,4.29033,-0.05400,0.49874,2.74405
Exp1,self,Vp5,MVA,MA,MV,1.47254,4.25480,-2.78226,7.90282,9.74538,-1.84255,-0.16289,3.23451
Exp1,self,Vp6,MVA,MA,MV,1.01934,8.33693,-7.31759,2.91951,3.41440,-0.49489,-0.43207,3.75103
Exp1,self,Vp7,MVA,MA,MV,1.86798,6.79255,-4.92457,9.67142,8.02455,1.64687,0.66306,2.50416
Exp1,self,Vp8,MVA,MA,MV,-1.73123,1.27038,-3.00162,2.93674,7.77131,-4.83457,-3.15075,3.65092
Exp1,self,Vp10,MVA,MA,MV,4.71576,10.14801,-5.43224,10.90288,11.89548,-0.99260,0.58900,3.27541
Exp1,self,Vp11,MVA,MA,MV,-1.93890,-7.23235,5.29345,9.39915,-3.92107,13.32022,-0.03374,5.21880
Exp1,self,Vp12,MVA,MA,MV,-0.29629,-1.65440,1.35811,4.73046,-1.95952,6.68999,-1.28550,3.76679
Exp1,self,Vp13,MVA,MA,MV,-4.09232,2.53004,-6.62236,5.00550,1.22908,3.77643,0.46398,2.81661
Exp1,self,Vp14,MVA,MA,MV,-0.10945,3.03888,-3.14834,5.78285,4.81637,0.96648,0.67885,1.72651
Exp1,self,Vp15,MVA,MA,MV,-0.56911,-2.64738,2.07827,3.62943,-3.07620,6.70563,-4.30490,5.11649
Exp1,self,Vp16,MVA,MA,MV,-4.47329,-3.96132,-0.51197,1.92247,0.98338,0.93909,0.72988,1.13206
Exp1,self,Vp17,MVA,MA,MV,2.41044,7.80171,-5.39128,4.67261,8.34069,-3.66808,-0.00235,3.26527
Exp1,self,Vp18,MVA,MA,MV,2.27274,3.52482,-1.25208,8.61311,7.49646,1.11665,0.76390,2.00892
Exp1,self,Vp19,MVA,MA,MV,-1.64699,4.77262,-6.41962,7.22555,9.90158,-2.67603,0.60508,3.50609
Exp1,self,Vp20,MVA,MA,MV,0.31465,-0.89118,1.20583,5.96258,5.98375,-0.02117,-0.03487,2.36823
Exp1,self,Vp22,MVA,MA,MV,1.54052,3.53697,-1.99645,7.45195,8.15305,-0.70110,0.46327,2.57998
Exp1,self,Vp23,MVA,MA,MV,5.33653,9.98953,-4.65300,4.88845,0.97576,3.91269,0.66710,2.75633
Exp1,self,Vp24,MVA,MA,MV,0.59949,-2.31646,2.91595,3.52411,-1.03720,4.56131,-2.61973,4.13296
Exp1,self,Vp25,MVA,MA,MV,5.04707,5.33119,-0.28412,5.73983,5.45051,0.28931,0.71397,1.99238
Exp1,self,Vp26,MVA,MA,MV,-4.74884,-1.60148,-3.14736,-1.15773,-2.46655,1.30881,0.76218,1.39113
