experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp1,self,Vp1,N1,MVA,MA,MV,1.61080,0.64940,0.50060,154.29688,154.29688,154.29688,2.26020,2.26020,-1.75960,-1.75960
Exp1,self,Vp2,N1,MVA,MA,MV,-1.28370,-0.48360,-0.93200,154.29688,191.40625,154.29688,-1.76730,-1.01620,0.83530,0.08420
Exp1,self,Vp4,N1,MVA,MA,MV,-5.84800,-2.18980,-7.12460,154.29688,154.29688,154.29688,-8.03780,-8.03780,0.91320,0.91320
Exp1,self,Vp5,N1,MVA,MA,MV,-1.19240,0.88670,-2.67030,154.29688,154.29688,154.29688,-0.30570,-0.30570,-2.36460,-2.36460
Exp1,self,Vp6,N1,MVA,MA,MV,0.72730,3.54700,-1.74620,154.29688,154.29688,160.15625,4.27430,4.27430,-6.02050,-6.02050
Exp1,self,Vp7,N1,MVA,MA,MV,-1.55940,1.54430,-4.39640,154.29688,181.64062,154.29688,-0.01510,0.79270,-4.38130,-5.18910
Exp1,self,Vp8,N1,MVA,MA,MV,-4.28270,1.89900,-2.52360,154.29688,154.29688,166.01562,-2.38370,-2.38370,-0.13990,-0.13990
Exp1,self,Vp10,N1,MVA,MA,MV,1.57750,4.16790,0.54490,154.29688,154.29688,154.29688,5.74540,5.74540,-5.20050,-5.20050
Exp1,self,Vp11,N1,MVA,MA,MV,-3.45080,-7.05210,-4.19710,154.29688,154.29688,154.29688,-10.50290,-10.50290,6.30580,6.30580
Exp1,self,Vp12,N1,MVA,MA,MV,-1.36610,-1.44820,-2.68230,154.29688,191.40625,154.29688,-2.81430,-2.66690,0.13200,-0.01540
Exp1,self,Vp13,N1,MVA,MA,MV,-5.40200,0.67310,-8.03780,154.29688,160.15625,154.29688,-4.72890,-4.60280,-3.30890,-3.43500
Exp1,self,Vp14,N1,MVA,MA,MV,0.43320,-1.03760,-2.95010,154.29688,154.29688,154.29688,-0.60440,-0.60440,-2.34570,-2.34570
Exp1,self,Vp15,N1,MVA,MA,MV,1.17720,-6.39490,-2.09380,154.29688,181.64062,154.29688,-5.21770,-3.09900,3.12390,1.00520
Exp1,self,Vp16,N1,MVA,MA,MV,-3.34590,-2.15020,-6.97820,154.29688,154.29688,154.29688,-5.49610,-5.49610,-1.48210,-1.48210
Exp1,self,Vp17,N1,MVA,MA,MV,0.10720,3.62180,-1.73080,154.29688,167.96875,154.29688,3.72900,4.08330,-5.45980,-5.81410
Exp1,self,Vp18,N1,MVA,MA,MV,-1.47340,2.19800,-0.36480,154.29688,154.29688,154.29688,0.72460,0.72460,-1.08940,-1.08940
Exp1,self,Vp19,N1,MVA,MA,MV,0.19090,-2.34640,-7.66780,154.29688,154.29688,154.29688,-2.15550,-2.15550,-5.51230,-5.51230
Exp1,self,Vp20,N1,MVA,MA,MV,-2.20350,-2.39450,-2.43930,154.29688,156.25000,154.29688,-4.59800,-4.57090,2.15870,2.13160
Exp1,self,Vp22,N1,MVA,MA,MV,-2.07060,1.80170,-0.83300,154.29688,154.29688,154.29688,-0.26890,-0.26890,-0.56410,-0.56410
Exp1,self,Vp23,N1,MVA,MA,MV,-0.07530,1.52010,-0.77030,154.29688,154.29688,154.29688,1.44480,1.44480,-2.21510,-2.21510
