experiment,model,subject,component,target_label,audio_label,visual_label,audio_amp_uV,visual_amp_uV,target_amp_uV,audio_lat_ms,visual_lat_ms,target_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp1,attenuation,Vp1,P1,VAO-MVA,AO-MA,VO-MV,0.53168,-2.80432,-2.42408,142.57812,107.42188,144.53125,-2.27264,-2.45322,-0.15144,0.02914
Exp1,attenuation,Vp2,P1,VAO-MVA,AO-MA,VO-MV,-0.46892,-0.09618,-0.06724,121.09375,144.53125,144.53125,-0.56510,-0.86178,0.49786,0.79454
Exp1,attenuation,Vp4,P1,VAO-MVA,AO-MA,VO-MV,1.43466,0.11506,-0.28804,107.42188,115.23438,144.53125,1.54972,1.34726,-1.83776,-1.63530
Exp1,attenuation,Vp5,P1,VAO-MVA,AO-MA,VO-MV,2.46720,1.12560,2.41372,138.67188,107.42188,144.53125,3.59280,0.66694,-1.17908,1.74678
Exp1,attenuation,Vp6,P1,VAO-MVA,AO-MA,VO-MV,4.01118,8.27992,4.05800,132.81250,126.95312,134.76562,12.29110,11.96628,-8.23310,-7.90828
Exp1,attenuation,Vp7,P1,VAO-MVA,AO-MA,VO-MV,0.23596,3.06396,1.13598,117.18750,107.42188,144.53125,3.29992,2.92612,-2.16394,-1.79014
Exp1,attenuation,Vp8,P1,VAO-MVA,AO-MA,VO-MV,3.19368,1.35458,-0.61354,144.53125,123.04688,125.00000,4.54826,3.47402,-5.16180,-4.08756
Exp1,attenuation,Vp10,P1,VAO-MVA,AO-MA,VO-MV,0.88192,0.02316,0.37140,130.85938,123.04688,144.53125,0.90508,0.46914,-0.53368,-0.09774
Exp1,attenuation,Vp11,P1,VAO-MVA,AO-MA,VO-MV,-1.56074,7.22584,-2.01652,130.85938,144.53125,125.00000,5.66510,4.72362,-7.68162,-6.74014
Exp1,attenuation,Vp12,P1,VAO-MVA,AO-MA,VO-MV,0.81422,3.38322,-0.06216,128.90625,138.67188,138.67188,4.19744,3.77378,-4.25960,-3.83594
Exp1,attenuation,Vp13,P1,VAO-MVA,AO-MA,VO-MV,1.28762,1.09410,2.40184,113.28125,144.53125,136.71875,2.38172,1.20184,0.02012,1.20000
Exp1,attenuation,Vp14,P1,VAO-MVA,AO-MA,VO-MV,-2.75202,1.85194,0.85036,144.53125,144.53125,144.53125,-0.90008,-0.90008,1.75044,1.75044
Exp1,attenuation,Vp15,P1,VAO-MVA,AO-MA,VO-MV,-2.34336,-0.54938,-1.65664,144.53125,136.71875,144.53125,-2.89274,-3.03402,1.23610,1.37738
Exp1,attenuation,Vp16,P1,VAO-MVA,AO-MA,VO-MV,1.17764,1.93352,1.35110,107.42188,107.42188,142.57812,3.11116,3.11116,-1.76006,-1.76006
Exp1,attenuation,Vp17,P1,VAO-MVA,AO-MA,VO-MV,5.04618,7.69122,5.34476,115.23438,107.42188,132.81250,12.73740,10.79726,-7.39264,-5.45250
Exp1,attenuation,Vp18,P1,VAO-MVA,AO-MA,VO-MV,2.46384,3.61274,-0.22296,126.95312,125.00000,125.00000,6.07658,6.05932,-6.29954,-6.28228
Exp1,attenuation,Vp19,P1,VAO-MVA,AO-MA,VO-MV,-0.84510,1.34568,0.95130,144.53125,138.67188,138.67188,0.50058,0.02178,0.45072,0.92952
Exp1,attenuation,Vp20,P1,VAO-MVA,AO-MA,VO-MV,2.90810,2.44160,-0.51380,115.23438,107.42188,117.18750,5.34970,5.01824,-5.86350,-5.53204
Exp1,attenuation,Vp22,P1,VAO-MVA,AO-MA,VO-MV,-0.02660,-0.06378,-1.67026,107.42188,107.42188,107.42188,-0.09038,-0.09038,-1.57988,-1.57988
Exp1,attenuation,Vp23,P1,VAO-MVA,AO-MA,VO-MV,2.06590,1.64028,3.68516,144.53125,130.85938,126.95312,3.70618,2.99982,-0.02102,0.68534
Exp1,attenuation,Vp24,P1,VAO-MVA,AO-MA,VO-MV,-0.26880,2.61436,0.51926,107.42188,126.95312,107.42188,2.34556,1.35298,-1.82630,-0.83372
Exp1,attenuation,Vp25,P1,VAO-MVA,AO-MA,VO-MV,-4.22790,-0.75592,-2.04612,107.42188,107.42188,144.53125,-4.98382,-4.98382,2.93770,2.93770
Exp1,attenuation,Vp1,N2,VAO-MVA,AO-MA,VO-MV,0.04850,-1.93130,-1.99608,246.09375,236.32812,265.62500,-1.88280,-1.78286,-0.11328,-0.21322
Exp1,attenuation,Vp2,N2,VAO-MVA,AO-MA,VO-MV,-3.47342,-0.43060,-2.10864,238.28125,251.95312,265.62500,-3.90402,-3.10512,1.79538,0.99648
